"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"GMB","GM",4915,47651,47651,"sutuma lower basic school",16872,-13.8518341,13.440383,3,NA,NA,2015,NA,NA,47,0,47,2,47,0,1,6004,0,0.0425531914893617,0,0.0401445202729827,4342.24557028054,399,399,399,262,27.620080947876,25.2277584075928,15.0573406219482,2.39232349395752,7.32257890701294,85.4397965274211,23.2107069035398,0.132138590773494,62.2290880647853,14.4280654515904
"GMB","GM",4916,47659,47659,"sutusinjang",16746,-16.3861179,13.1869802,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6076,NA,NA,NA,NA,0,400,400,401,263,0.810322532467566,0.657302108904131,0.312127709953201,0.153020411707635,0.120720505354918,52.1137909688366,45.3645739743088,0.953427057763563,6.74921772709048,46.9327808571411
"GMB","GM",4916,47659,47659,"sutusinjang basic cycle school",16747,-16.3861179,13.1869802,1,NA,NA,2015,NA,NA,49,0,49,0,49,0,1,6077,0,0,0,0,0,401,401,400,263,0.810322532467566,0.657302108904131,0.312127709953201,0.153020411707635,0.120720505354918,52.1137909688366,45.3645739743088,0.953427057763563,6.74921772709048,46.9327808571411
"GMB","GM",4915,47650,47650,"tabajang",16819,-14.41422,13.34983333,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5986,NA,NA,NA,NA,0,402,402,403,264,NA,NA,NA,NA,NA,84.0963155484488,25.9910792669038,0.641943428062464,58.1052367503998,15.2617403887777
"GMB","GM",4915,47650,47650,"tabajang lower basic school",16820,-14.41422,13.34983333,3,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5983,0,0,0,0,0,403,403,402,264,NA,NA,NA,NA,NA,84.0963155484488,25.9910792669038,0.641943428062464,58.1052367503998,15.2617403887777
"GMB","GM",4911,47631,47631,"tabanani lower basic school",17041,-14.586263,13.632834,1,NA,NA,2015,NA,NA,50,0,50,0,50,0,1,5795,0,0,0,0,4593.35540990255,404,404,404,265,NA,NA,NA,NA,NA,85.4181870301205,22.6919230737104,1.27862802584286,62.7262656920268,13.3031849547415
"GMB","GM",4912,47633,47633,"tallinding",16863,-16.67019004,13.43114856,3,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5837,NA,NA,NA,NA,211.947380708056,405,405,405,266,NA,NA,NA,NA,NA,98.904941774975,14.1440135195542,0.0135313203827511,84.7609285659233,1.08152647003942
"GMB","GM",4912,47633,47633,"tallinding annex lbs",16864,-16.66957167,13.4341,3,NA,NA,2015,NA,NA,50,0,50,1,50,0,1,5813,0,0.02,0,0.0188679245283018,134.495132942299,406,406,406,267,NA,NA,NA,NA,NA,99.3930005737132,7.54862223200918,0.00750051754253699,91.8443785036616,0.599498676505389
"GMB","GM",4912,47633,47633,"tallinding proper",16865,-16.66995833,13.43298667,3,NA,NA,2015,NA,NA,50,0,50,1,50,0,1,5839,0,0.02,0,0.0188679245283018,134.495132942299,407,407,407,268,NA,NA,NA,NA,NA,99.2115220040635,10.0391334096276,0.0097429963023824,89.1723888129554,0.778734691016326
"GMB","GM",4912,47633,47633,"tallingdin annex",52564,-16.66876,13.415178,3,NA,NA,2010,NA,NA,50,0,50,0,50,0,1,5818,0,0,0,0,175.442693837269,408,408,408,269,NA,NA,NA,NA,NA,95.8068403773355,49.9274175190449,0.00321543723932997,45.8794226771213,4.18994489011593
"GMB","GM",4916,47658,47658,"tamba kunda",16740,-16.1360406,13.1668731,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6072,NA,NA,NA,NA,100.837516261637,409,409,409,270,27.3882064142763,23.0898320641708,16.0873083911811,4.29837489199894,6.0246971619984,61.0104521300335,20.5559851700042,0.718246362994428,40.4544675298899,38.271301477409
"GMB","GM",4916,47658,47658,"tamba kunda lower basic school",16741,-16.1352359,13.1672781,3,NA,NA,2015,NA,NA,50,6,50,0,50,0,1,6074,0.12,0,0,0.113207547169811,100.837516261637,410,410,410,271,26.8879823182085,22.6448589924702,15.7425030350277,4.24312384358398,5.89772661639447,61.3870748744641,20.5589761744778,0.720361909466745,40.8280991670538,37.8925632406933
"GMB","GM",4914,47643,47643,"tambana",16810,-16.1735323,13.5063708,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,5919,NA,NA,NA,NA,0,411,411,388,255,NA,NA,NA,NA,NA,96.0307137667931,9.42555122208239,0.0279566370882991,86.6051665681707,3.9413278053037
"GMB","GM",4916,47665,47665,"tanji",16960,-16.7883416,13.3485785,1,NA,NA,2015,NA,NA,0,0,0,0,0,0,1,6162,NA,NA,NA,NA,612.702018264773,412,412,412,272,NA,NA,NA,NA,NA,81.3716273176614,23.0509831221715,0.397449706725576,58.3206462717533,18.230921975733
"GMB","GM",4916,47665,47665,"tanji lower basic",16961,-16.7837332,13.3515066,1,NA,NA,2015,NA,NA,50,2,50,8,50,1,1,6161,0.04,0.16,0.02,0.197856603773585,612.702018264773,413,413,413,273,NA,NA,NA,NA,NA,81.4400109567372,23.2592575040122,0.347687124330136,58.1807571158092,18.2122997093602
