"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","x","y","longitude","latitude","AnnualPrecip","AnPET","AridityIndex","geometry"
"MWI","MW",2991,28952,28952,,3,"school","mapping",2017,10,14,27,0,27,0,27,0,1,26397,0,0,0,0,13640.8836323715,37,37,37,35,46.7127305181341,46.3427557855938,3.99862318033027,0.369975003016414,49.2886459550974,73.3815007445411,54.4140631306629,5.27532335577402,18.9674344138872,21.3431767772801,112.035365740877,976.091458096519,3745995.78843665,-1443100.97355765,33.65085271,-12.85438511,462.602333676558,906.105655245335,0.255222820083643,c(3745995.78843665, -1443100.97355765)
"MWI","MW",2999,28972,28972,,3,"","mapping",2012,10,15,30,0,30,0,30,0,1,26775,0,0,0,0,19.4315976664277,42,42,42,39,45.2467464399084,42.543275926981,9.82153157162117,2.70347195856375,44.931720259956,55.6351825950377,52.802055388713,30.5012977839318,2.83312972839365,13.8635164047173,61.028487740243,1362.02720000002,3789593.76533001,-1274705.73408221,34.0425,-11.3754,595.47670375258,749.498728363185,0.397251807495933,c(3789593.76533001, -1274705.73408221)
"MWI","MW",2999,28973,28973,,3,"school","mapping",2012,10,14,30,3,30,2,30,0,1,26834,0.1,0.0666666666666667,0,0.150943396226415,6.21344723913144,45,45,45,42,40.4907883575878,40.2112676865734,11.8649783034285,0.279518437372625,47.6442354262909,82.4887745716527,79.5390240349511,2.57113569440584,2.94974694821601,14.9400898032037,73.69879387855,1260.47435424001,3749163.08287135,-1290074.42814501,33.679305,-11.510715,449.76161666234,859.670215470715,0.26151452616233,c(3749163.08287135, -1290074.42814501)
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,14,29,0,29,0,29,0,1,26917,0,0,0,0,761.5559578199,46,46,46,43,51.1905045498018,48.9106741214307,2.73551744817629,2.27983003740304,46.0739773004573,99.185030676247,5.62887128845163,0.652386230257749,93.5561620604155,0.162581324338385,1949.99525273368,1098.16992896,3767531.3554497,-1234056.25674927,33.84431,-11.01719,422.47562916099,867.974516069575,0.243653187376897,c(3767531.3554497, -1234056.25674927)
"MWI","MW",2991,28952,28952,,3,"school","mapping",2017,10,14,30,0,30,0,30,0,1,26400,0,0,0,0,6079.07234090223,47,47,47,44,45.1748412052408,45.1213531390652,9.79934676816321,0.0534890038778882,45.0258096573571,64.2640617893009,61.7071727127282,1.21806329405622,2.55689008947288,34.5178740738943,72.1508093760839,1051.75387518611,3708841.50353242,-1470930.30455176,33.31709009,-13.09799603,416.020313865525,911.546614270445,0.228189339081046,c(3708841.50353242, -1470930.30455176)
"MWI","MW",2993,28954,28954,,3,"school","mapping",2012,10,13,30,3,30,0,30,0,1,26419,0.1,0,0,0.0943396226415094,4289.63261192517,50,50,50,47,41.274197918742,41.1658391852229,7.44312078161927,0.10835970081927,51.282683899851,67.9090483336713,64.3589294703046,2.4858965627789,3.55011545402388,29.6050555546135,456.26603186002,1179.6181088,3746813.68501816,-1604806.95182388,33.6582,-14.26648,485.748409475865,849.134934650375,0.285956720981231,c(3746813.68501816, -1604806.95182388)
"MWI","MW",2999,28973,28973,,3,"school","mapping",2012,11,20,30,2,30,0,30,0,1,26835,0.0666666666666667,0,0,0.0628930817610063,11579.9537329852,52,52,52,49,40.8557695570931,40.5679726042192,9.56308901969674,0.287796919428351,49.5811398458492,90.6257721629335,89.4010100717055,3.059301133127,1.22476783236572,6.31492350756669,65.4085634670273,1158.27722655998,3761735.50616154,-1258247.41572344,33.792245,-11.23042,458.150050957584,833.88536912686,0.274648560466278,c(3761735.50616154, -1258247.41572344)
"MWI","MW",3007,28968,28968,,3,"school","mapping",2017,10,14,30,0,30,0,30,0,1,26918,0,0,0,0,2996.59545763163,55,55,55,51,48.0206252448669,47.5547002168966,4.01879709182606,0.465924301695281,47.9605785284946,78.0176793961362,77.5190504661676,21.0926682528002,0.498631508923087,0.889655143991094,108.234017042263,1079.34967254969,3755018.71406564,-1236176.41079199,33.73190703,-11.03588406,417.956304004464,885.75912751579,0.235869071867181,c(3755018.71406564, -1236176.41079199)
"MWI","MW",2999,28973,28973,,3,"school","mapping",2012,10,14,30,0,30,0,30,0,1,26836,0,0,0,0,45.3533235260795,57,57,57,53,41.7273362135315,39.6315492370824,11.3612249535895,2.09578525196611,46.9114403472015,67.5319146614293,56.2711073278184,6.33201723692014,11.2608072839572,26.1360676671431,43.7738067070241,1156.30688399999,3719629.46536644,-1255310.92468848,33.414,-11.204545,419.870148916476,903.263253267225,0.232335439334834,c(3719629.46536644, -1255310.92468848)
"MWI","MW",2991,28952,28952,,3,"school","mapping",2017,10,13,30,0,30,0,30,0,1,26402,0,0,0,0,3403.94679992158,58,58,58,54,45.0569050096225,44.8659804149261,12.4041080275387,0.190924489497757,42.538987893226,62.7097032266086,60.1680098592755,1.19735825060434,2.54168946248951,36.0929400798244,173.9940389651,1063.17857484397,3744634.54476016,-1484199.45784544,33.63862445,-13.21406633,416.999653846992,904.9341999279,0.230353847008794,c(3744634.54476016, -1484199.45784544)
"MWI","MW",2991,28952,28952,,3,"school","mapping",2017,6,11,117,0,119,0,119,0,1,26403,0,0,0,0,15274.0476280616,59,59,59,55,44.1276459592868,43.9874910195204,14.6798377547749,0.140154894794352,41.1925174803233,98.3583566155804,48.5197982442543,0.0697049073426817,49.8385564447238,1.57194033653588,312.549050574308,1066.39859670889,3727939.56776809,-1496856.65175862,33.48865092,-13.32473217,394.211439303608,910.541102083715,0.216400505340933,c(3727939.56776809, -1496856.65175862)
"MWI","MW",2984,28945,28945,,3,"","sentinel site",2012,5,10,123,0,123,0,123,0,1,26984,0,0,0,0,0,64,64,65,57,45.6544023663778,40.8502473058913,2.42176451589196,4.80415441055489,51.9238336350727,80.3064146439992,67.7926745145766,9.74780920296604,12.5137382140949,9.94577567447211,438.311231931946,1018.16698176,3907132.67607391,-1766852.70814264,35.09837,-15.67272,501.96239243571,814.24003178628,0.309277468786775,c(3907132.67607391, -1766852.70814264)
