"Row.names","iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","hk_perc_highinfection","hk_perc_moderateinfection","asc_examined","asc_positive","asc_perc_highinfection","asc_perc_moderateinfection","tt_examined","tt_positive","tt_perc_highinfection","tt_perc_moderateinfection","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water"
"150","ETH","ET",1947,3154,18732,"school in addis ababa",52358,42.116699,9.3166704,3,NA,NA,2005,NA,NA,66,4,NA,NA,66,1,NA,NA,66,3,NA,NA,2,5089,0.0606060606060606,0.0151515151515151,0.0454545454545454,0.110275529346167,0,149,149,147,125,46.8527612437514,44.8383478846957,41.7611978929266,2.01440811566828,11.3860434187307,68.7688726771214,22.8840516387587,10.0002285748917,45.8848177375337,21.2309010284028
"151","ETH","ET",1945,3141,18707,"school in adi gudem",NA,41.8566146,9.5815123,1,NA,NA,2005,7,17,67,0,NA,NA,67,3,NA,NA,67,0,NA,NA,2,31359,0,0.044776119402985,0,0.0422416220782878,0,150,150,166,126,54.3156809915751,49.1669886490096,38.3962149691788,5.14868991180679,7.28810641626299,78.9500351890516,12.9257481037053,3.30403875919941,66.0242900008801,17.7459259062862
"152","ETH","ET",1950,3152,19242,"school in adigrat",52483,39.4605612,14.278304,1,NA,NA,2005,NA,NA,47,5,NA,NA,47,26,NA,NA,47,4,NA,NA,2,5305,0.106382978723404,0.553191489361702,0.0851063829787234,0.598778508924569,0,151,151,152,127,60.6634681093754,53.8722988037433,32.3980415868407,6.7911696906617,6.93849068215429,70.6857209099355,48.5725868050141,8.99822127971719,22.1131368014384,20.3160561697633
"153","ETH","ET",1948,3151,18750,"school in adigrat",52155,39.4605612,14.278304,1,NA,NA,2005,NA,NA,50,3,NA,NA,50,5,NA,NA,50,1,NA,NA,2,5106,0.06,0.1,0.02,0.161245283018868,0,152,152,151,127,60.6634681093754,53.8722988037433,32.3980415868407,6.7911696906617,6.93849068215429,70.6857209099355,48.5725868050141,8.99822127971719,22.1131368014384,20.3160561697633
"154","ETH","ET",1951,3176,19324,"school in adigrat",52516,39.4702674,14.2710308,1,NA,NA,2005,NA,NA,50,11,NA,NA,50,3,NA,NA,50,0,NA,NA,2,5331,0.22,0.06,0,0.251698113207547,1365.80475084991,153,153,153,128,68.1700314903678,64.6087947463465,25.9854729182543,3.56123596785897,5.84449596761707,86.9243383047735,64.3212500900871,3.96044554597942,22.6030916129854,9.11521410003494
"155","ETH","ET",1947,3154,18732,"school in adigrat",52359,39.4605612,14.278304,1,NA,NA,2005,NA,NA,68,0,NA,NA,68,0,NA,NA,68,0,NA,NA,2,5092,0,0,0,0,0,154,154,151,127,60.6634681093754,53.8722988037433,32.3980415868407,6.7911696906617,6.93849068215429,70.6857209099355,48.5725868050141,8.99822127971719,22.1131368014384,20.3160561697633
"156","ETH","ET",1943,3193,18633,"school in adwa",52449,38.8937176,14.1636465,1,NA,NA,2005,NA,NA,49,7,NA,NA,49,13,NA,NA,49,3,NA,NA,2,5047,0.142857142857143,0.26530612244898,0.0612244897959183,0.385677126893444,14969.6053807567,155,155,155,129,26.9702271854624,21.902809395861,53.3985581910601,5.06741724704697,19.6312159496998,95.2778377314302,1.22128787567857,1.99670236932291,94.056549336451,2.7254608138012
"157","ETH","ET",1951,3179,19280,"school in aksum",52164,38.7626678,14.1344071,1,NA,NA,2005,NA,NA,50,0,NA,NA,50,17,NA,NA,50,0,NA,NA,2,5323,0,0.34,0,0.320754716981132,14969.6053807567,156,156,156,130,40.4753879059886,35.4466198688281,48.7180992985587,5.02876606294314,10.8065144741158,87.5472574462435,4.95889111085208,6.20846619864489,82.5883652843009,6.24427614044518
"158","ETH","ET",1943,3171,18602,"school in alamata",NA,38.466702,11.7333,3,NA,NA,2005,7,17,49,1,NA,NA,49,9,NA,NA,49,2,NA,NA,2,31444,0.0204081632653061,0.183673469387755,0.0408163265306122,0.219785524482242,270.657280061214,157,157,157,131,20.7889621866741,20.4861627175563,59.129373542014,0.302799380729629,20.0816631565702,36.470631868689,20.5664385834997,13.6865012204123,15.9041924151098,49.842867397286
"159","ETH","ET",1943,3178,18628,"school in alamata",52421,39.5536782,12.41967,1,NA,NA,2005,NA,NA,49,1,NA,NA,49,9,NA,NA,49,2,NA,NA,2,5040,0.0204081632653061,0.183673469387755,0.0408163265306122,0.219785524482242,31689.1598016411,158,158,158,132,25.7786829723717,24.4224819600145,60.8585753939636,1.35620099837982,13.36274455237,68.1584876191497,11.7453078189869,27.2277354300442,56.4131791909088,4.61377494284533
"16","ETH","ET",1948,3155,18815,"anayifa",52233,35.396301,8.6219397,3,NA,NA,2009,NA,NA,103,67,NA,NA,103,22,NA,NA,103,4,NA,NA,1,5130,0.650485436893204,0.213592233009709,0.0388349514563106,0.694163438878578,33617.6023126897,15,15,15,16,5.55750659835882,4.92307713087547,11.7940539194442,0.634429516498478,82.6484387910962,54.6810600300842,24.4728053290982,16.7381888448839,30.2082549692277,28.5807522305076
"160","ETH","ET",1950,3184,19198,"school in arero",52371,38.466702,7.0500002,3,NA,NA,2005,NA,NA,49,1,NA,NA,49,28,NA,NA,49,15,NA,NA,2,5285,0.0204081632653061,0.571428571428571,0.306122448979592,0.668578119404426,0,159,159,199,133,68.0462322235107,64.8296928405762,5.6603707075119,3.21653866767883,26.2933969497681,98.3495407104492,0.738655507564545,0.897806733846664,97.6108856201172,0.752651810646057
"161","ETH","ET",1951,3176,19319,"school in awassa",52505,38.4844027,7.0803218,1,NA,NA,2005,NA,NA,50,0,NA,NA,50,2,NA,NA,50,3,NA,NA,2,5330,0,0.04,0.06,0.0920754716981132,3930.75575733128,160,160,160,134,34.0485057365389,32.3732843707072,28.9240004162291,1.67522047900441,37.0274931590384,81.728480055559,10.9220952880553,10.672967773041,70.8063859987517,7.59855142227646
"162","ETH","ET",1948,3143,18850,"school in bahir dar",52303,37.4143606,11.5820144,1,NA,NA,2005,NA,NA,50,10,NA,NA,50,17,NA,NA,50,3,NA,NA,2,5150,0.2,0.34,0.06,0.475169811320755,5967.03808126916,161,161,161,135,19.9275083852699,19.1127846070046,40.5311362684817,0.814723847350813,42.7025922966325,44.7943087983045,10.8796434595308,20.5603569326176,33.9146653056869,37.8065688339706
"163","ETH","ET",1950,3152,19242,"school in bahir dar",52484,37.3613533,11.5742086,1,NA,NA,2005,NA,NA,50,15,NA,NA,50,5,NA,NA,50,1,NA,NA,2,5306,0.3,0.1,0.02,0.360943396226415,5967.03808126916,162,162,162,136,12.8715709165249,12.0978449092948,33.3552138979544,0.773726098929461,25.6683701855068,69.1312278452925,0.595001572838824,1.48135542851742,68.5362226381657,1.28257552216369
"164","ETH","ET",1945,3141,18707,"school in bako tibe",NA,41.866699,9.58333,3,NA,NA,2005,7,17,66,0,NA,NA,66,5,NA,NA,66,1,NA,NA,2,31437,0,0.0757575757575757,0.0151515151515151,0.084680423445432,0,163,163,169,137,52.5550054657865,48.6097922839939,40.9643510287834,3.94521148890619,6.48064498241045,79.020106967665,10.0290629247614,5.40535066250382,68.991046226636,15.5745423104486
